FirstName,LastName,Team,Position,ADP,Year,TeamPosRank,PosRank1_ADP,PosRank2_ADP,PosAmbiguity
Adrian,Peterson,MIN,RB,1.5,2013,RB1,1.5,,0
Doug,Martin,TAM,RB,3.66,2013,RB1,3.66,,0
Arian,Foster,HOU,RB,4.58,2013,RB1,4.58,100.71,0
Marshawn,Lynch,SEA,RB,7.64,2013,RB1,7.64,157.24,0
Jamaal,Charles,KAN,RB,7.92,2013,RB1,7.92,,0
Ray,Rice,BAL,RB,8.7,2013,RB1,8.7,130.8,0
Calvin,Johnson,DET,WR,8.99,2013,WR1,8.99,152.93,0
CJ,Spiller,BUF,RB,9.31,2013,RB1,9.31,131.07,0
Trent,Richardson,IND,RB,10.2,2013,RB1,10.2,78.73,0
LeSean,McCoy,PHI,RB,11.0,2013,RB1,11.0,127.37,0
Alfred,Morris,WAS,RB,13.93,2013,RB1,13.93,164.92,0
Matt,Forte,CHI,RB,17.02,2013,RB1,17.02,151.77,0
AJ,Green,CIN,WR,17.41,2013,WR1,17.41,164.7,0
Dez,Bryant,DAL,WR,17.78,2013,WR1,17.78,88.37,0
Chris,Johnson,TEN,RB,21.51,2013,RB1,21.51,158.92,0
Steven,Jackson,ATL,RB,21.72,2013,RB1,21.72,143.75,0
Julio,Jones,ATL,WR,21.83,2013,WR1,21.83,34.02,0
Brandon,Marshall,CHI,WR,22.96,2013,WR1,22.96,131.71,0
Jimmy,Graham,NOR,TE,24.33,2013,TE1,24.33,,0
Demaryius,Thomas,DEN,WR,24.84,2013,WR1,24.84,42.75,1
Stevan,Ridley,NWE,RB,27.29,2013,RB1,27.29,91.13,1
Maurice,JonesDrew,JAX,RB,27.45,2013,RB1,27.45,,0
Larry,Fitzgerald,ARI,WR,29.91,2013,WR1,29.91,127.07,0
Reggie,Bush,DET,RB,31.18,2013,RB1,31.18,146.47,0
Andre,Johnson,HOU,WR,31.26,2013,WR1,31.26,121.53,0
Frank,Gore,SFO,RB,32.83,2013,RB1,32.83,165.84,0
Randall,Cobb,GNB,WR,33.23,2013,WR1,33.23,55.84,1
Roddy,White,ATL,WR,34.02,2013,WR2,21.83,34.02,0
David,Wilson,NYG,RB,36.24,2013,RB1,36.24,113.89,0
Victor,Cruz,NYG,WR,36.26,2013,WR1,36.26,57.44,1
DeMarco,Murray,DAL,RB,36.73,2013,RB1,36.73,,0
Vincent,Jackson,TAM,WR,40.02,2013,WR1,40.02,99.43,1
Wes,Welker,DEN,WR,42.75,2013,WR2,24.84,42.75,1
Marques,Colston,NOR,WR,45.05,2013,WR1,45.05,105.62,1
Darren,McFadden,OAK,RB,45.96,2013,RB1,45.96,,0
Darren,Sproles,NOR,RB,46.78,2013,RB1,46.78,97.24,1
Dwayne,Bowe,KAN,WR,48.27,2013,WR1,48.27,,0
Eddie,Lacy,GNB,RB,49.06,2013,RB1,49.06,160.06,0
Rob,Gronkowski,NWE,TE,49.34,2013,TE1,49.34,,0
Danny,Amendola,NWE,WR,49.89,2013,WR1,49.89,118.1,0
Reggie,Wayne,IND,WR,50.59,2013,WR1,50.59,77.35,1
Lamar,Miller,MIA,RB,52.37,2013,RB1,52.37,,0
Jordy,Nelson,GNB,WR,55.84,2013,WR2,33.23,55.84,1
Hakeem,Nicks,NYG,WR,57.44,2013,WR2,36.26,57.44,1
Torrey,Smith,BAL,WR,57.86,2013,WR1,57.86,171.15,0
Jason,Witten,DAL,TE,59.96,2013,TE1,59.96,,0
Pierre,Garcon,WAS,WR,60.56,2013,WR1,60.56,,0
Eric,Decker,DEN,WR,60.85,2013,WR3,24.84,42.75,1
Vernon,Davis,SFO,TE,60.92,2013,TE1,60.92,,0
Montee,Ball,DEN,RB,62.24,2013,RB1,62.24,124.89,0
Ryan,Mathews,SDG,RB,63.27,2013,RB1,63.27,140.72,0
Antonio,Brown,PIT,WR,64.37,2013,WR1,64.37,128.59,0
Mike,Wallace,MIA,WR,64.45,2013,WR1,64.45,153.83,0
